"","Oeuvre","motifs","n","total","nrel","Balzac-Goriot","Flaubert-Bovary","Huysmans-Rebours"
"1","Huysmans-Rebours","NC de le NC",22,2016,0.0109126984126984,-0.5453,-0.7019,1.2551
"2","Balzac-Goriot","NC de le NC",16,2311,0.00692340977931631,-0.5453,-0.7019,1.2551
"3","Balzac-Goriot","le NC de le",15,2311,0.00649069666810904,0.3307,-0.4036,0.4636
"4","Huysmans-Rebours","le NC de le",15,2016,0.00744047619047619,0.3307,-0.4036,0.4636
"5","Flaubert-Bovary","NC de le NC",14,2173,0.00644270593649333,-0.5453,-0.7019,1.2551
"6","Flaubert-Bovary","de le NC ,",13,2173,0.00598251265531523,-0.9549,0.7737,0.3379
"7","Flaubert-Bovary","le NC de le",13,2173,0.00598251265531523,0.3307,-0.4036,0.4636
"8","Huysmans-Rebours",", à le NC",10,2016,0.00496031746031746,-1.7327,-0.5877,2.6603
"9","Huysmans-Rebours","de le NC ,",10,2016,0.00496031746031746,-0.9549,0.7737,0.3379
"10","Balzac-Goriot",", de le NC",8,2311,0.00346170488965816,1.2973,-0.4955,-0.7425
"11","Huysmans-Rebours","le NC de NC",8,2016,0.00396825396825397,-1.1472,0.4036,0.7869
"12","Balzac-Goriot","de le NC ,",7,2311,0.00302899177845089,-0.9549,0.7737,0.3379
"13","Flaubert-Bovary","de le NC de",7,2173,0.00322135296824666,-0.6826,0.8207,0.3477
"14","Flaubert-Bovary","le NC , VIMP",7,2173,0.00322135296824666,-1.9097,1.7008,0.423
"15","Flaubert-Bovary","le NC de NC",7,2173,0.00322135296824666,-1.1472,0.4036,0.7869
"16","Huysmans-Rebours",", le NC de",7,2016,0.00347222222222222,-0.6027,-0.9883,1.8914
"17","Huysmans-Rebours","ADJ NC de le",7,2016,0.00347222222222222,-1.3364,-1.2378,3.5621
"18","Huysmans-Rebours","NC de NC ,",7,2016,0.00347222222222222,-0.8478,-0.4088,1.3391
"19","Huysmans-Rebours","le NC et le",7,2016,0.00347222222222222,-0.489,-1.5917,2.2791
"20","Balzac-Goriot",". le NC de",6,2311,0.00259627866724362,2.6965,-1.0609,-0.9679
"21","Balzac-Goriot","NC , le NC",6,2311,0.00259627866724362,0.6481,-0.7471,-0.3359
"22","Balzac-Goriot","le NC de NP",6,2311,0.00259627866724362,0.8013,-1.1305,0.337
"23","Flaubert-Bovary","un NC de NC",6,2173,0.00276115968706857,-0.6826,0.5046,0.3477
"24","Huysmans-Rebours","ADJ et ADJ ,",6,2016,0.00297619047619048,-0.6491,-1.2378,2.3416
"25","Huysmans-Rebours","dans le NC ,",6,2016,0.00297619047619048,-2.1009,0.5356,1.0453
"26","Huysmans-Rebours","le ADJ NC de",6,2016,0.00297619047619048,-0.6491,-1.2378,2.3416
"27","Huysmans-Rebours","le NC ADJ ,",6,2016,0.00297619047619048,-0.3157,-0.4955,0.7286
"28","Huysmans-Rebours","à le NC ,",6,2016,0.00297619047619048,-0.9775,0.3458,0.7286
"29","Huysmans-Rebours","à le NC ADJ",6,2016,0.00297619047619048,-0.7934,-0.7137,1.8722
"30","Balzac-Goriot","ADJ , le NC",5,2311,0.00216356555603635,1.621,-0.457,-0.9679
"31","Balzac-Goriot","de le NC ADJ",5,2311,0.00216356555603635,0.4607,-0.6349,0.337
"32","Balzac-Goriot","de le NC NP",5,2311,0.00216356555603635,2.2468,-0.884,-0.8065
"33","Balzac-Goriot","le NC ADJ et",5,2311,0.00216356555603635,0.4607,-1.1305,0.6326
"34","Flaubert-Bovary","NC de DETPOSS NC",5,2173,0.00230096640589047,-1.9097,0.6676,0.7745
"35","Flaubert-Bovary","dans le NC ,",5,2173,0.00230096640589047,-2.1009,0.5356,1.0453
"36","Flaubert-Bovary","dans le NC .",5,2173,0.00230096640589047,-1.1454,1.744,-0.3997
"37","Flaubert-Bovary","de DETPOSS NC ,",5,2173,0.00230096640589047,-1.9097,0.6676,0.7745
"38","Flaubert-Bovary","un NC ADJ ,",5,2173,0.00230096640589047,0.3926,0.8351,-0.7487
"39","Flaubert-Bovary","à le NC ,",5,2173,0.00230096640589047,-0.9775,0.3458,0.7286
"40","Flaubert-Bovary","à le NC de",5,2173,0.00230096640589047,-1.7186,0.8351,0.532
"41","Huysmans-Rebours","ADJ , à le",5,2016,0.00248015873015873,-0.9544,-0.884,2.5436
"42","Huysmans-Rebours","NC , à le",5,2016,0.00248015873015873,-1.1454,-0.457,1.8951
"43","Huysmans-Rebours","NC de DETPOSS NC",5,2016,0.00248015873015873,-1.9097,0.6676,0.7745
"44","Huysmans-Rebours","NC et de NC",5,2016,0.00248015873015873,-0.3824,-1.4148,1.1797
"45","Huysmans-Rebours","NC et le NC",5,2016,0.00248015873015873,-0.3824,-1.4148,1.1797
"46","Huysmans-Rebours","de DETPOSS NC ,",5,2016,0.00248015873015873,-1.9097,0.6676,0.7745
"47","Huysmans-Rebours","de le NC .",5,2016,0.00248015873015873,-1.0949,0.3532,0.7745
"48","Huysmans-Rebours","le NC , de",5,2016,0.00248015873015873,-0.7226,-0.3282,0.6326
"49","Huysmans-Rebours","le NC ADJ et",5,2016,0.00248015873015873,0.4607,-1.1305,0.6326
"50","Huysmans-Rebours","un NC de NC",5,2016,0.00248015873015873,-0.6826,0.5046,0.3477
"51","Balzac-Goriot","NC , de le",4,2311,0.00173085244482908,0.3926,-0.4264,-0.3606
"52","Balzac-Goriot","NC ADJ , le",4,2311,0.00173085244482908,1.7972,-0.7071,-0.6452
"53","Balzac-Goriot","NC ADJ et ADJ",4,2311,0.00173085244482908,0.515,-1.4148,0.672
"54","Balzac-Goriot","NC en NC ,",4,2311,0.00173085244482908,0.6799,0.3649,-1.1294
"55","Balzac-Goriot","PPAS . le NC",4,2311,0.00173085244482908,0.9086,0.4928,-0.9679
"56","Balzac-Goriot","PRES le NC de",4,2311,0.00173085244482908,1.2434,-0.3383,-0.8065
"57","Balzac-Goriot","et le NC de",4,2311,0.00173085244482908,0.6799,-1.2378,0.4248
"58","Balzac-Goriot","le NC , le",4,2311,0.00173085244482908,0.3926,-0.4264,-0.3606
"59","Balzac-Goriot","le NC ADJ ,",4,2311,0.00173085244482908,-0.3157,-0.4955,0.7286
"60","Balzac-Goriot","le NC ADJ de",4,2311,0.00173085244482908,0.515,-0.7137,0.3242
"61","Balzac-Goriot","le NC de ce",4,2311,0.00173085244482908,1.2434,-0.884,0.3075
"62","Balzac-Goriot","le NC se PRES",4,2311,0.00173085244482908,1.7972,-0.7071,-0.6452
"63","Balzac-Goriot","par un NC ADJ",4,2311,0.00173085244482908,0.9086,-0.457,-0.3997
"64","Balzac-Goriot","un NC à NC",4,2311,0.00173085244482908,1.7972,-0.7071,-0.6452
"65","Flaubert-Bovary","NC . DETPOSS NC",4,2173,0.00184077312471238,-0.9544,1.3402,0.3075
"66","Flaubert-Bovary","de le NC .",4,2173,0.00184077312471238,-1.0949,0.3532,0.7745
"67","Flaubert-Bovary","de un NC ADJ",4,2173,0.00184077312471238,-0.9544,1.3402,0.3075
"68","Flaubert-Bovary","de un NC de",4,2173,0.00184077312471238,-1.1454,0.9957,-0.3997
"69","Flaubert-Bovary","le NC , de",4,2173,0.00184077312471238,-0.7226,-0.3282,0.6326
"70","Flaubert-Bovary","le NC . il",4,2173,0.00184077312471238,-0.9544,1.3402,0.3075
"71","Flaubert-Bovary","sur le NC de",4,2173,0.00184077312471238,-0.3791,1.3402,-0.8065
"72","Huysmans-Rebours",", PPRES le NC",4,2016,0.00198412698412698,-0.9544,-0.3383,1.4593
"73","Huysmans-Rebours",", dans le NC",4,2016,0.00198412698412698,-0.9544,-0.3383,1.4593
"74","Huysmans-Rebours",", un ADJ NC",4,2016,0.00198412698412698,-0.9544,-0.3383,1.4593
"75","Huysmans-Rebours",", à le NCCOR",4,2016,0.00198412698412698,-0.9544,-0.3383,1.4593
"76","Huysmans-Rebours","INF le NC de",4,2016,0.00198412698412698,-0.9544,-0.3383,1.4593
"77","Huysmans-Rebours","NC , le NC",4,2016,0.00198412698412698,0.6481,-0.7471,-0.3359
"78","Huysmans-Rebours","NC , un ADJ",4,2016,0.00198412698412698,-0.7634,-0.7071,2.0346
"79","Huysmans-Rebours","NC ADJ et ADJ",4,2016,0.00198412698412698,0.515,-1.4148,0.672
"80","Huysmans-Rebours","NC de NC et",4,2016,0.00198412698412698,-1.3364,0.3649,0.8555
"81","Huysmans-Rebours","NC de le NP",4,2016,0.00198412698412698,0.3184,-1.2378,0.8555
"82","Huysmans-Rebours","de NC , à",4,2016,0.00198412698412698,-0.7634,-0.7071,2.0346
"83","Huysmans-Rebours","de NC de NC",4,2016,0.00198412698412698,-0.9544,-0.3383,1.4593
"84","Huysmans-Rebours","de NC et de",4,2016,0.00198412698412698,0.3184,-0.5826,0.8555
"85","Huysmans-Rebours","de le NC ADJ",4,2016,0.00198412698412698,0.4607,-0.6349,0.337
"86","Huysmans-Rebours","de le NC de",4,2016,0.00198412698412698,-0.6826,0.8207,0.3477
"87","Huysmans-Rebours","le NC de NP",4,2016,0.00198412698412698,0.8013,-1.1305,0.337
"88","Huysmans-Rebours","à le NC de",4,2016,0.00198412698412698,-1.7186,0.8351,0.532
"89","Balzac-Goriot","ADJ et ADJ .",3,2311,0.00129813933362181,0.8802,-0.7071,0.4362
"90","Balzac-Goriot","NC . le NC",3,2311,0.00129813933362181,0.4388,-1.0609,0.5612
"91","Balzac-Goriot","NC ADJ , PPAS",3,2311,0.00129813933362181,0.613,-0.3383,-0.8065
"92","Balzac-Goriot","NC ADJ de le",3,2311,0.00129813933362181,0.4388,-1.0609,0.5612
"93","Balzac-Goriot","NC ADJ en NC",3,2311,0.00129813933362181,1.3477,-0.5303,-0.4838
"94","Balzac-Goriot","NC ADJ qui PRES",3,2311,0.00129813933362181,1.3477,-0.5303,-0.4838
"95","Balzac-Goriot","NC NP un NC",3,2311,0.00129813933362181,1.3477,-0.5303,-0.4838
"96","Balzac-Goriot","NC PRES le NC",3,2311,0.00129813933362181,1.3477,-0.5303,-0.4838
"97","Balzac-Goriot","NC de ce NC",3,2311,0.00129813933362181,0.8802,-0.7071,0.4362
"98","Balzac-Goriot","NC de le NP",3,2311,0.00129813933362181,0.3184,-1.2378,0.8555
"99","Balzac-Goriot","NC en NC ADJ",3,2311,0.00129813933362181,1.3477,-0.5303,-0.4838
"100","Balzac-Goriot","NC et de NC",3,2311,0.00129813933362181,-0.3824,-1.4148,1.1797
"101","Balzac-Goriot","NC et le NC",3,2311,0.00129813933362181,-0.3824,-1.4148,1.1797
"102","Balzac-Goriot","NC par un NC",3,2311,0.00129813933362181,1.3477,-0.5303,-0.4838
"103","Balzac-Goriot","NC être ADJ ,",3,2311,0.00129813933362181,0.8802,0.3881,-0.6452
"104","Balzac-Goriot","NP un ADJ NC",3,2311,0.00129813933362181,1.3477,-0.5303,-0.4838
"105","Balzac-Goriot","NP un NC ADJ",3,2311,0.00129813933362181,1.3477,-0.5303,-0.4838
"106","Balzac-Goriot","PRES le NC ,",3,2311,0.00129813933362181,0.8802,0.3881,-0.6452
"107","Balzac-Goriot","PRES le NC ADJ",3,2311,0.00129813933362181,1.3477,-0.5303,-0.4838
"108","Balzac-Goriot","ce NC être ADJ",3,2311,0.00129813933362181,1.3477,-0.5303,-0.4838
"109","Balzac-Goriot","de le ADJ NC",3,2311,0.00129813933362181,0.8802,-0.7071,0.4362
"110","Balzac-Goriot","de le NC PPAS",3,2311,0.00129813933362181,0.4388,-0.457,-0.3997
"111","Balzac-Goriot","de le NC de",3,2311,0.00129813933362181,-0.6826,0.8207,0.3477
"112","Balzac-Goriot","de le NC et",3,2311,0.00129813933362181,0.8802,-0.7071,0.4362
"113","Balzac-Goriot","elle PRES le NC",3,2311,0.00129813933362181,1.3477,-0.5303,-0.4838
"114","Balzac-Goriot","le ADJ NC ,",3,2311,0.00129813933362181,0.3184,0.3649,0.4248
"115","Balzac-Goriot","le NC NP ,",3,2311,0.00129813933362181,0.8802,-0.7071,0.4362
"116","Balzac-Goriot","le NC NP un",3,2311,0.00129813933362181,1.3477,-0.5303,-0.4838
"117","Balzac-Goriot","le NC PPAS ,",3,2311,0.00129813933362181,0.8802,-0.7071,0.4362
"118","Balzac-Goriot","le NC de NC",3,2311,0.00129813933362181,-1.1472,0.4036,0.7869
"119","Balzac-Goriot","le NC en NC",3,2311,0.00129813933362181,0.8802,0.3881,-0.6452
"120","Balzac-Goriot","par le NC ADJ",3,2311,0.00129813933362181,1.3477,-0.5303,-0.4838
"121","Balzac-Goriot","qui PRES un NC",3,2311,0.00129813933362181,1.3477,-0.5303,-0.4838
"122","Balzac-Goriot","un NC ADJ ,",3,2311,0.00129813933362181,0.3926,0.8351,-0.7487
"123","Balzac-Goriot","un NC de NC",3,2311,0.00129813933362181,-0.6826,0.5046,0.3477
"124","Balzac-Goriot","un NC en NC",3,2311,0.00129813933362181,0.8802,0.3881,-0.6452
"125","Balzac-Goriot","à INF le NC",3,2311,0.00129813933362181,0.3184,0.3649,0.4248
"126","Flaubert-Bovary",", de le NC",3,2173,0.00138057984353428,1.2973,-0.4955,-0.7425
"127","Flaubert-Bovary",", de un NC",3,2173,0.00138057984353428,-0.5725,1.428,-0.4838
"128","Flaubert-Bovary",", à le NC",3,2173,0.00138057984353428,-1.7327,-0.5877,2.6603
"129","Flaubert-Bovary",". il se VPS",3,2173,0.00138057984353428,-0.7634,0.9511,0.4362
"130","Flaubert-Bovary","DETPOSS NC , PPRES",3,2173,0.00138057984353428,-0.5725,1.428,-0.4838
"131","Flaubert-Bovary","DETPOSS NC de NC",3,2173,0.00138057984353428,0.3498,0.9511,-0.6452
"132","Flaubert-Bovary","DETPOSS NC le VIMP",3,2173,0.00138057984353428,-0.5725,1.428,-0.4838
"133","Flaubert-Bovary","INF à le NC",3,2173,0.00138057984353428,-0.5105,0.4928,-0.3997
"134","Flaubert-Bovary","NC . mais ,",3,2173,0.00138057984353428,-0.5725,1.428,-0.4838
"135","Flaubert-Bovary","NC de NC ,",3,2173,0.00138057984353428,-0.8478,-0.4088,1.3391
"136","Flaubert-Bovary","NC de NC ADJ",3,2173,0.00138057984353428,-0.7634,0.9511,0.4362
"137","Flaubert-Bovary","NC de NC et",3,2173,0.00138057984353428,-1.3364,0.3649,0.8555
"138","Flaubert-Bovary","NC en NC ,",3,2173,0.00138057984353428,0.6799,0.3649,-1.1294
"139","Flaubert-Bovary","NC à le NC",3,2173,0.00138057984353428,-0.9544,0.6752,0.3075
"140","Flaubert-Bovary","VIMP , on VIMP",3,2173,0.00138057984353428,-0.5725,1.428,-0.4838
"141","Flaubert-Bovary","VIMP de le NC",3,2173,0.00138057984353428,-0.5725,1.428,-0.4838
"142","Flaubert-Bovary","le NC , et",3,2173,0.00138057984353428,0.3498,0.9511,-0.6452
"143","Flaubert-Bovary","le NC ADJ ,",3,2173,0.00138057984353428,-0.3157,-0.4955,0.7286
"144","Flaubert-Bovary","le NC de DETPOSS",3,2173,0.00138057984353428,-0.9544,0.6752,0.3075
"145","Flaubert-Bovary","le NC de un",3,2173,0.00138057984353428,-0.9544,0.6752,0.3075
"146","Flaubert-Bovary","le NCCOR , et",3,2173,0.00138057984353428,0.3498,0.9511,-0.6452
"147","Flaubert-Bovary","on VIMP , on",3,2173,0.00138057984353428,-0.5725,1.428,-0.4838
"148","Flaubert-Bovary","sur DETPOSS NCCOR .",3,2173,0.00138057984353428,-0.5725,1.428,-0.4838
"149","Huysmans-Rebours",". le NC ,",3,2016,0.00148809523809524,0.4388,-0.457,0.5612
"150","Huysmans-Rebours","ADJ NC de NC",3,2016,0.00148809523809524,-0.5105,0.4928,0.5612
"151","Huysmans-Rebours","ADJ de le NC",3,2016,0.00148809523809524,0.4388,-0.457,0.5612
"152","Huysmans-Rebours","DETPOSS NC , ils",3,2016,0.00148809523809524,-0.5725,-0.5303,1.5257
"153","Huysmans-Rebours","NC , PPRES le",3,2016,0.00148809523809524,-0.5725,-0.5303,1.5257
"154","Huysmans-Rebours","NC , de NC",3,2016,0.00148809523809524,0.3498,-0.7071,1.0385
"155","Huysmans-Rebours","NC , de le",3,2016,0.00148809523809524,0.3926,-0.4264,-0.3606
"156","Huysmans-Rebours","NC , ils ne",3,2016,0.00148809523809524,-0.5725,-0.5303,1.5257
"157","Huysmans-Rebours","NC . le NC",3,2016,0.00148809523809524,0.4388,-1.0609,0.5612
"158","Huysmans-Rebours","NC ADJ de le",3,2016,0.00148809523809524,0.4388,-1.0609,0.5612
"159","Huysmans-Rebours","NC PPAS de NC",3,2016,0.00148809523809524,-0.3791,-0.884,0.7528
"160","Huysmans-Rebours","NC PPAS à le",3,2016,0.00148809523809524,-0.3791,-0.884,0.7528
"161","Huysmans-Rebours","PPAS de NC ,",3,2016,0.00148809523809524,0.3184,0.3649,0.4248
"162","Huysmans-Rebours","PPAS par DETPOSS NC",3,2016,0.00148809523809524,-0.5725,-0.5303,1.5257
"163","Huysmans-Rebours","VIMP , le NC",3,2016,0.00148809523809524,-0.5725,-0.5303,1.5257
"164","Huysmans-Rebours","dans le NC ADJ",3,2016,0.00148809523809524,-0.3791,-0.3383,0.7528
"165","Huysmans-Rebours","de le NC ;",3,2016,0.00148809523809524,0.4388,-0.457,0.5612
"166","Huysmans-Rebours","de le NP ,",3,2016,0.00148809523809524,-0.3791,-0.3383,0.7528
"167","Huysmans-Rebours","et ADJ , à",3,2016,0.00148809523809524,-0.5725,-0.5303,1.5257
"168","Huysmans-Rebours","et le NC de",3,2016,0.00148809523809524,0.6799,-1.2378,0.4248
"169","Huysmans-Rebours","le NC , ADJ",3,2016,0.00148809523809524,-0.3791,-0.3383,0.7528
"170","Huysmans-Rebours","le NC , VIMP",3,2016,0.00148809523809524,-1.9097,1.7008,0.423
"171","Huysmans-Rebours","le NC , ils",3,2016,0.00148809523809524,-0.5725,-0.5303,1.5257
"172","Huysmans-Rebours","le NC , le",3,2016,0.00148809523809524,0.3926,-0.4264,-0.3606
"173","Huysmans-Rebours","le NC ADJ de",3,2016,0.00148809523809524,0.515,-0.7137,0.3242
"174","Huysmans-Rebours","le NC NC de",3,2016,0.00148809523809524,-0.5725,-0.5303,1.5257
"175","Huysmans-Rebours","le NC être PPAS",3,2016,0.00148809523809524,-0.3791,-0.3383,0.7528
"176","Huysmans-Rebours","un ADJ NC de",3,2016,0.00148809523809524,-0.9544,-0.3383,0.7528
"177","Balzac-Goriot",", ADJ , PPRES",2,2311,0.000865426222414539,0.8983,-0.3535,-0.3225
"178","Balzac-Goriot",", NP NP PRES",2,2311,0.000865426222414539,0.8983,-0.3535,-0.3225
